exp3,exp2,exp1,freq3,freq2,freq1,freq0
0.9,0,0,1,0,0,0
0,0,0,0,0,0,0
0,0,1.5,0,0,1,2
0,26.2,8.6,0,3,3,3
13.6,5.3,26.1,8,4,1,2
0,11.3,0.7,0,1,1,1
0,0,0,0,0,0,1
0,3.3,0,0,1,0,2
0,0,66.7,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,38.9,0,0,2,1
0,5.4,0,0,2,0,0
0,0,0,0,0,0,0
0,0,51.1,0,0,1,0
0,0,0,0,0,0,0
0,2.5,0,0,1,0,0
0,28.9,5,0,2,1,0
50.5,55.3,0,3,2,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
37.5,12.1,8,3,2,3,1
23.9,7.6,3.7,2,2,1,0
0,0,52.8,0,0,1,0
0,34.8,6.5,0,1,1,2
0,0,0,0,0,0,0
43.5,14.7,0,1,2,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11.6,4.7,36.4,1,3,1,1
11,10.5,0,2,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,5.5,0,0,1,0,0
0,0,0.1,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
18.9,0,0,1,0,0,0
54.6,65.8,1.6,5,5,3,2
0,0,0,0,0,0,0
0,0,7.2,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
29.9,0,2,1,0,1,0
0,0,0,0,0,0,0
40.2,0,0,2,0,0,0
0,0,0,0,0,0,0
0,9,0,0,1,0,0
0,0,0,0,0,0,0
20.1,0,17.8,2,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
12.8,87.6,0,2,2,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,40.9,13.9,0,2,3,1
0,0,0,0,0,0,0
34.7,5.7,0,1,2,0,1
8.6,20.9,0,5,1,0,1
0,0,0,0,0,0,0
0,20.8,1.4,0,1,1,0
0,22.4,12.7,0,1,2,0
0,0,0,0,0,0,0
28.8,2.7,0,2,2,0,0
0,0,0,0,0,0,0
1,0,0,1,0,0,0
24,2.6,8.2,6,2,1,2
10.4,0,0,1,0,0,3
33.5,0,0,1,0,0,0
25.2,0,0,1,0,0,0
6,46.8,0,1,2,0,0
0,25,66.4,0,1,2,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.9,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.5,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
39.8,3.5,20.4,1,2,3,1
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
72.4,14.1,3.5,2,2,2,2
35.3,4.2,7.2,3,5,1,4
54.4,42.3,0,2,3,0,0
0,0,0,0,0,0,0
0,0.6,0,0,2,0,0
0,1.6,0,0,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
14.5,1.5,0,2,1,0,0
