name,poor,weak,moderate,long_lasting,very_long_lasting
Blood Orange Aaron Terence Hughes for women and men,3,1,0,4,5
Cedarwood and Bergamot Aaron Terence Hughes for women and men,3,1,0,2,4
"Chocolate, Rose & Oud Aaron Terence Hughes for women and men",5,0,2,5,5
Filth Aaron Terence Hughes for women and men,7,2,1,2,1
Filth XXL Aaron Terence Hughes for women and men,3,0,0,2,1
Jasmine Narcotique Aaron Terence Hughes for women and men,4,1,1,2,3
Narcissus Aaron Terence Hughes for women and men,1,0,0,3,1
Neroli Aaron Terence Hughes for women and men,3,1,1,1,2
Onyx Concentrate Aaron Terence Hughes for women and men,6,4,0,7,10
Oud Aaron Terence Hughes for women and men,6,0,0,2,11
Rose Aaron Terence Hughes for women and men,4,0,1,3,3
Santal Extreme Aaron Terence Hughes for women and men,4,1,0,0,11
Slut Aaron Terence Hughes for women and men,28,5,8,24,8
"Tobacco, Oud And Vanilla Aaron Terence Hughes for women and men",6,1,1,5,12
Broken Glass Blackbird for women and men,0,0,3,2,0
Ophir Blackbird for women and men,0,1,4,2,0
Targa Blackbird for women and men,0,3,1,4,2
Triton Blackbird for women and men,0,1,2,3,2
" Fès, Jardin d’épices Les Parfums du Soleil for women and men",0,0,0,0,0
" L'Agdal, Jardin d'Agrumes Les Parfums du Soleil for women and men",0,0,0,0,0
Ambre Nomade Les Parfums du Soleil for women and men,0,0,0,0,0
Bleu 4 Saisons Les Parfums du Soleil for women and men,0,0,0,0,0
Bois de Santal Les Parfums du Soleil for women and men,0,0,0,0,0
Casablanca Les Parfums du Soleil for women and men,0,0,0,0,0
Cèdre Divin Les Parfums du Soleil for men,0,0,0,0,0
Desir d'Orient Les Parfums du Soleil for women and men,0,0,0,0,0
Encens du Maroc Les Parfums du Soleil for women and men,0,0,0,0,0
Fleur d'Oranger Les Parfums du Soleil for women,0,0,0,0,0
Jardins du Maroc Les Parfums du Soleil for women and men,0,0,0,1,0
Les Jardins de Shérazade Les Parfums du Soleil for women,0,0,1,0,1
Les Matins Bleus d’Agadir Les Parfums du Soleil for women and men,0,1,0,0,0
Mogador Les Parfums du Soleil for men,0,0,0,0,0
Musc d'Arabie Les Parfums du Soleil for women and men,0,0,0,0,0
Oud 4 Saisons Les Parfums du Soleil for women and men,0,0,0,0,0
Soir de Marrakech Les Parfums du Soleil for women and men,2,1,1,2,0
Sultane des Coeurs Les Parfums du Soleil for women,0,0,0,0,0
Ambra Oud Al Ambra for women and men,0,0,0,0,0
De Lora Al Ambra for women,0,0,0,0,0
Hala Oud Al Ambra for women and men,0,0,0,0,0
Hexa Modkilla Al Ambra for women and men,0,0,0,0,1
Musk Ambra Al Ambra for women and men,0,0,0,0,0
Orlina Al Ambra for women,0,0,0,0,0
Shadow Of Rose Al Ambra for women and men,0,0,0,0,0
Shake Ambra Al Ambra for women and men,0,0,0,0,0
Tysir Al Ambra for men,0,0,0,0,0
Amber Musc Ajmal for women and men,1,0,3,7,3
Cuir Musc Ajmal for women and men,2,0,0,2,1
Encore Ajmal for women and men,0,0,1,0,1
Hafa Ajmal for women and men,0,0,0,1,4
Musc Supreme Ajmal for women and men,0,0,0,0,0
Shaghaf Ajmal for women and men,1,0,0,0,1
Violet Musc Ajmal for women and men,2,2,2,1,7
Watani Abyad Ajmal for women and men,1,1,0,0,1
Watani Ahmar Ajmal for women and men,0,0,1,0,0
Watani Akhdar Ajmal for women and men,0,0,1,0,3
Selective I Attar Collection for women and men,0,0,0,0,0
Selective II Attar Collection for women and men,0,0,0,0,0
Selective III Attar Collection for women and men,0,0,0,0,0
Selective IV Attar Collection for women and men,1,0,0,0,0
Selective V Attar Collection for women and men,0,0,0,0,1
Selective VI Attar Collection for women and men,1,0,0,0,0
Selective VII Attar Collection for women and men,0,0,0,0,1
The Persian Gold Attar Collection for women and men,1,1,3,2,3
40M ASAMA Perfumes for women and men,0,0,0,0,0
Abalone ASAMA Perfumes for women,0,0,0,1,0
Arabian Storm ASAMA Perfumes for women and men,1,0,0,0,1
ASAMA Limited Oud ASAMA Perfumes for women and men,0,0,0,0,1
Asama Oud ASAMA Perfumes for women and men,0,0,0,0,1
Blue Marlin ASAMA Perfumes for men,0,0,0,0,0
Coast ASAMA Perfumes for men,0,0,0,0,0
Current ASAMA Perfumes for women and men,0,0,0,0,0
Marble ASAMA Perfumes for women and men,0,0,0,0,0
Ocean ASAMA Perfumes for women and men,0,0,0,0,0
Sea Rose ASAMA Perfumes for women,0,0,0,0,0
Shell ASAMA Perfumes for women,1,0,0,2,0
Anthea Lord's Jester for women and men,1,1,0,0,0
Aphelia Concrete de Parfum Lord's Jester for women and men,0,0,0,2,0
Ares Lord's Jester for women and men,1,0,0,0,0
Ares EDP Lord's Jester for women and men,0,1,0,0,1
Chronos Lord's Jester for women and men,0,0,0,0,0
Daphne Lord's Jester for women and men,0,0,2,2,3
Demeter Lord's Jester for women and men,0,1,0,1,0
Dionysus Lord's Jester for women and men,0,1,0,1,0
Gaia Lord's Jester for women and men,0,0,2,0,0
Helios Concrete de Parfum Lord's Jester for women and men,0,0,0,0,0
Hemera Lord's Jester for women and men,0,0,0,1,0
Heracles Lord's Jester for women and men,0,0,0,0,2
Phoebe Lord's Jester for women and men,0,1,0,0,0
Selene Lord's Jester for women and men,0,0,1,2,0
Selene Concrete de Parfum Lord's Jester for women and men,0,0,0,0,0
Zephyr Lord's Jester for women and men,0,0,0,1,1
Alpha Avon for men,3,2,8,2,1
Alpha Avon for women,1,6,9,5,0
Attraction Avon for men,1,3,9,4,0
Next2Me Men JAFRA for men,0,0,0,1,0
Into The Wild Maison Matine for women and men,0,0,0,0,0
Capricho O Boticário for women,0,0,1,0,0
Malbec Vert O Boticário for men,0,0,1,0,0
Quasar Forever Energy O Boticário for men,0,0,0,0,0
Rio que Anima O Boticário for women and men,0,0,0,0,0
The Blend Bourbon O Boticário for men,0,0,3,2,0
The Blend Eau de Parfum O Boticário for men,0,1,2,1,0
Zaad Go O Boticário for men,0,1,1,1,0
The Scent of Anna Dello Russo Anna Dello Russo for women,0,0,0,0,1
Peachy Sky Brocard for women,0,1,0,0,1
Legacy 1912 Titanic RMS Titanic for women,2,0,4,0,3
Glimmer Criminal Elements for women and men,0,0,0,0,0
Y&A SAI New York for women and men,0,0,0,0,0
Boston Tobacco Leaf Nomaterra for women and men,0,2,0,3,2
Brooklyn Violet Leaf Nomaterra for men,0,1,0,1,3
Cape Cod Wild Beach Rose Nomaterra for women,1,0,1,0,2
DC Cherry Blossom Nomaterra for women and men,2,0,0,1,1
East Hampton Atlantic White Cedar Nomaterra for women and men,0,2,0,1,0
Malibu Honeysuckle Nomaterra for women and men,0,0,3,3,1
Miami Orange Blossom Nomaterra for women and men,0,1,2,1,3
New Orleans Datura Nomaterra for women and men,0,1,1,0,4
Oahu Gardenia Nomaterra for women and men,0,1,2,0,0
Savannah Magnolia Nomaterra for women and men,1,1,1,1,2
Eau de Verino Roberto Verino for women,0,0,1,3,0
Nuvol de Llimona Roca Perfums for women and men,5,4,3,1,0
Royal Violets Agustin Reyes for women and men,0,2,5,0,0
40M ASAMA Perfumes for women and men,0,0,0,0,0
Abalone ASAMA Perfumes for women,0,0,0,1,0
Arabian Storm ASAMA Perfumes for women and men,1,0,0,0,1
ASAMA Limited Oud ASAMA Perfumes for women and men,0,0,0,0,1
Asama Oud ASAMA Perfumes for women and men,0,0,0,0,1
Blue Marlin ASAMA Perfumes for men,0,0,0,0,0
Coast ASAMA Perfumes for men,0,0,0,0,0
Current ASAMA Perfumes for women and men,0,0,0,0,0
Marble ASAMA Perfumes for women and men,0,0,0,0,0
Ocean ASAMA Perfumes for women and men,0,0,0,0,0
Sea Rose ASAMA Perfumes for women,0,0,0,0,0
Shell ASAMA Perfumes for women,1,0,0,2,0
Between Mountains Altern Essence Perfume for women and men,0,0,0,0,0
D'oura Altern Essence Perfume for women,0,1,0,0,0
Dead Elephant Altern Essence Perfume for women and men,0,0,0,0,0
Law Holts Haters Altern Essence Perfume for women and men,0,0,0,0,0
Patty Altern Essence Perfume for women and men,0,0,0,0,0
L'Insolent F. Millot for women,0,0,0,0,0
Partner F. Millot for men,0,0,1,0,0
Zilite Dzintars for women,0,0,1,0,0
BESTIA GENTILE: amber lemonade FUMparFUM for men,0,0,1,0,0
BESTIA GENTILE: pepper soul FUMparFUM for men,0,0,1,0,0
BESTIA GENTILE: pony leather FUMparFUM for men,0,0,2,1,0
BESTIA GENTILE: woody cologne FUMparFUM for men,0,0,0,0,1
Blur FUMparFUM for women and men,0,0,0,0,2
Clown FUMparFUM for women and men,0,0,0,0,0
Cuir Dandy FUMparFUM for women and men,0,0,1,0,0
Drama Queen FUMparFUM for women and men,0,0,0,0,0
Fall Mirror FUMparFUM for women and men,0,0,0,0,0
Figueres FUMparFUM for women and men,1,0,1,0,0
Golden Sawdust FUMparFUM for women and men,0,0,2,0,0
L'Artiste FUMparFUM for women and men,0,0,0,1,0
Old Piano FUMparFUM for women and men,0,0,1,0,0
Parisian FUMparFUM for women and men,0,0,0,0,0
The Priest FUMparFUM for women and men,0,0,1,0,0
Theatre Scent No 1 FUMparFUM for women and men,0,0,0,0,0
Theatre Scent No 2 FUMparFUM for women and men,0,0,0,0,0
Theatre Scent No 3 FUMparFUM for women and men,0,0,0,0,0
Theatre Scent No 4 FUMparFUM for women and men,0,0,1,1,1
Theatre Scent No 5 FUMparFUM for women and men,0,0,0,0,0
Voyageur FUMparFUM for women and men,0,0,0,0,0
Sainampüng The Fragrance Engineers for women,0,0,0,0,0
White Silk The Fragrance Engineers for women,0,0,0,0,0
