name,poor,weak,moderate,long_lasting,very_long_lasting
A Rather Novel Collection 1856 Darjeeling by Adriana Medina Anthropologie for women and men,2,0,2,0,0
Majesty Arabesque Perfumes for women and men,0,0,0,0,1
Avon Luck for Her Avon for women,10,21,54,25,12
Little Black Dress Weekend Avon for women,0,1,4,0,0
A Thousand Wishes Bath and Body Works for women,10,17,38,9,9
Ed Hardy Love & Luck Christian Audigier for women,11,16,37,17,8
Ed Hardy Skulls & Roses for Her Christian Audigier for women,3,5,26,8,4
Ed Hardy Skulls & Roses for Him Christian Audigier for men,9,6,35,11,2
Ed Hardy Villain for Men Christian Audigier for men,4,10,58,18,8
Harajuku Lovers Wicked Style Music Harajuku Lovers for women,10,15,4,3,1
Idôle Lancome for women,34,45,67,64,45
3121 Prince for women,4,3,13,27,9
Bombshell Victoria's Secret for women,54,80,185,61,22
Victoria Victoria's Secret for women,9,33,14,12,5
Cuir de Russie Guerlain for women and men,1,0,1,1,4
Eau de Cologne du Coq Guerlain for men,18,19,4,2,2
Eau de Verveine Guerlain for women and men,0,1,2,0,0
Imperial Russe Guerlain for women and men,0,0,0,2,1
Jicky Guerlain for women,32,44,116,70,22
Jicky Extrait Guerlain for women,2,6,5,11,6
Le 3' Homme de Caron Caron for men,13,18,51,118,37
Parfum d'Hermes Hermès for women,3,3,3,8,6
Rouge Hermes Hermès for women,6,7,14,45,33
Rouge Hermes Eau Delicate Hermès for women,1,3,6,2,5
Mure et Musc Cologne L'Artisan Parfumeur for women and men,4,4,2,1,2
Borobudur Erik Kormann for women and men,0,0,2,0,0
Eau de Froehliche Erik Kormann for women and men,1,0,0,0,1
Eau de Froehliche No. 3 Erik Kormann for women and men,1,0,1,1,0
Michael Michael Kors for women,21,23,65,110,97
Ralph Ralph Lauren for women,19,68,172,88,22
Vincent van Gogh for Women Vincent van Gogh for women,1,0,1,0,0
Adidas 3 Extreme Pour Lui Adidas for men,0,0,1,0,0
Adidas 3 Man Adidas for men,1,2,0,0,0
Dunhill Edition Alfred Dunhill for men,9,8,73,24,4
Cumbia Colors Woman Benetton for women,1,1,2,0,0
Magic Celine for women,2,3,2,8,2
Instinct David Beckham for men,25,47,109,25,12
Echo Davidoff for men,9,12,58,12,6
That's Amore! Gai Mattiolo Exotic Paradise LUI Hawaiian Water Gai Mattiolo for men,0,0,2,0,1
Emporio Armani Lui Giorgio Armani for men,18,43,109,50,10
G Giorgio Beverly Hills for women,7,12,17,5,5
Very Irresistible for men Givenchy for men,6,17,106,67,15
Horizon Guy Laroche for men,6,8,43,48,14
Deep Red Hugo Boss for women,30,53,209,119,31
Hugo Dark Blue Hugo Boss for men,11,35,115,56,6
Sensations Jil Sander for women,4,11,16,23,3
Sun Men Jil Sander for men,8,10,50,37,13
Aroma Calm Lancome for women,2,2,0,0,1
Paul Smith Men Paul Smith for men,7,15,47,9,3
Second Skin Ted Baker for men,1,0,1,1,1
Oxymusc A Lab on Fire for women and men,1,1,1,2,2
Colonia Intensa Acqua di Parma for men,23,27,101,113,19
Grenadille d'Afrique Aedes de Venustas for women and men,4,2,8,10,4
Palissandre d'Or Aedes de Venustas for women and men,1,7,13,18,6
The Library Collection Opus VII Amouage for women and men,11,8,18,35,109
Vintage Ana Salazar for women,0,0,0,3,0
Agua de Jazmin Angel Schlesser for women,1,0,3,1,0
Angel Schlesser Essential for Men Angel Schlesser for men,3,13,25,8,5
Angel Schlesser Femme Angel Schlesser for women,3,5,9,5,2
Angel Schlesser Femme Eau de Parfum Angel Schlesser for women,1,0,6,2,0
Eau de Cologne Bergamota Angel Schlesser for women,1,0,1,0,0
Aqua Quorum Antonio Puig for men,5,13,51,10,5
Sybaris Antonio Puig for men,2,0,8,11,6
In Red Armand Basi for women,9,15,20,9,1
In Red EdP Armand Basi for women,0,4,3,5,4
I Put a Spell on You Art Meets Art for women and men,0,0,1,0,3
Like a Virgin Art Meets Art for women,0,0,1,0,1
Amor Total Avon for women,1,0,0,0,0
Treselle Avon for women,7,21,55,26,5
Tua Graça Avon for women,1,0,0,0,0
Azzaro Now Women Azzaro for women,2,11,17,10,1
Del Mar Baldessarini Baldessarini for men,4,12,28,9,3
Aqva Divina Bvlgari for women,21,23,73,85,22
BLV Bvlgari for women,17,19,69,88,19
BLV Notte Pour Femme Bvlgari for women,7,17,54,28,14
BLV Notte Pour Homme Bvlgari for men,6,10,36,27,13
BLV Pour Homme Bvlgari for men,25,30,140,193,34
Bvlgari Man Bvlgari for men,44,54,252,68,29
Bvlgari Man Black Cologne Bvlgari for men,21,18,64,38,12
Bvlgari Man Black Orient Bvlgari for men,12,21,52,99,26
Bvlgari Man Extreme Bvlgari for men,61,59,182,177,54
Bvlgari Man In Black Bvlgari for men,75,98,317,551,93
Bvlgari Man In Black Essence Bvlgari for men,7,14,13,33,8
Bvlgari Man The Silver Limited Edition Bvlgari for men,4,3,5,4,2
Bvlgari Man Wood Essence Bvlgari for men,30,25,87,48,14
Bvlgari Man Wood Neroli Bvlgari for men,15,17,39,46,13
Erea Bvlgari for women,0,0,0,1,0
Goldea Bvlgari for women,12,23,57,27,12
Goldea The Roman Night Bvlgari for women,11,26,50,24,11
Goldea The Roman Night Absolute Bvlgari for women,0,4,11,6,3
Nylaia Bvlgari for women,1,1,1,1,4
Omnia Bvlgari for women,50,53,142,70,21
Omnia Amethyste Bvlgari for women,59,96,172,60,30
Omnia Coral Bvlgari for women,62,75,161,90,25
Omnia Crystalline Bvlgari for women,82,150,319,137,52
Omnia Crystalline Eau de Parfum Bvlgari for women,16,31,62,27,13
Omnia Golden Citrine Bvlgari for women,0,1,3,3,1
Omnia Green Jade Bvlgari for women,15,60,86,30,13
Omnia Indian Garnet Bvlgari for women,39,42,74,26,14
Omnia Paraiba Bvlgari for women,28,54,84,13,8
Omnia Pink Sapphire Bvlgari for women,17,10,14,10,3
Rose Goldea Bvlgari for women,15,13,39,19,14
Rose Goldea Blossom Delight Bvlgari for women,2,4,9,0,3
Rose Goldea Jacky Tsai Edition Bvlgari for women,0,0,0,1,1
Rubinia Bvlgari for women,3,2,1,9,2
Veridia Bvlgari for women,0,1,2,3,1
Dark Lord By Kilian for men,5,7,7,26,38
Eternal Oud By Kilian for women and men,2,3,4,1,7
Good Girl Gone Bad Eau Fraîche By Kilian for women,3,2,1,1,1
Good Girl Gone Bad Extreme By Kilian for women,4,4,19,4,5
Kisses Don't Lie By Kilian for women,2,3,3,5,8
Musk Oud By Kilian for women and men,5,6,8,54,194
"Sophie Matisse Art Edition Good Girl Gone Bad, Splash of Neroli By Kilian for women and men",0,1,4,0,0
Voulez-Vous Coucher Avec Moi By Kilian for women and men,9,7,15,39,11
Scarlett Cacharel for women,16,27,83,22,9
Homme de Café Cafe Parfums for men,0,3,6,2,2
CK All Calvin Klein for women and men,15,22,55,45,35
CK Everyone Calvin Klein for women and men,6,7,9,1,6
CK One Calvin Klein for women and men,102,268,753,179,55
CK One Chinese New Year Edition Calvin Klein for women and men,1,0,3,2,0
CK One Collector Bottle 2008 Calvin Klein for women and men,0,0,0,2,0
CK One Collector's Edition Calvin Klein for women,3,1,3,3,3
CK One Collector's Edition Calvin Klein for women and men,0,1,11,4,0
Ck One Graffiti Calvin Klein for women and men,0,0,3,1,0
Truth Calvin Klein for women,22,29,114,74,22
Carita Eau de Parfum Carita for women,5,1,8,6,2
212 Carolina Herrera for women,20,18,101,74,24
212 Men Carolina Herrera for men,30,51,253,484,102
212 Men Aqua Carolina Herrera for men,9,2,4,7,11
212 Men Silver Carolina Herrera for men,0,0,0,0,1
212 NYC Men Pills Carolina Herrera for men,0,1,2,4,2
212 NYC Pills Carolina Herrera for women,0,0,2,0,1
212 Sexy Men Carolina Herrera for men,19,22,127,172,45
212 Sexy Men Pills Carolina Herrera for men,2,0,1,3,0
212 Summer Cocktail Carolina Herrera for women,0,0,0,0,0
212 VIP Carolina Herrera for women,17,32,78,124,25
212 VIP Pills Carolina Herrera for women,2,0,1,1,0
Chic Carolina Herrera for women,3,10,15,25,16
Le Baiser Du Dragon Cartier for women,28,33,90,169,89
Le Baiser Du Dragon Parfum Cartier for women,0,0,0,0,1
Must II Cartier for women,1,1,11,12,2
Panthere Cartier for women,3,4,6,25,16
Eau Des Vignes Caudalie for women,1,1,3,1,1
Agar Royal Chopard for women and men,0,1,0,1,2
Aigle Imperial Chopard for women and men,2,0,0,1,0
Infiniment Chopard for women,2,1,10,8,3
Infiniment Eau de Toilette Chopard for women,0,0,0,0,0
Jasmin Moghol Chopard for women and men,3,0,2,3,3
Love Chopard Chopard for women,2,4,1,3,0
Magnolia Au Vetiver du Haiti Chopard for women and men,1,0,1,0,0
Miel d'Arabie Chopard for women and men,3,2,4,4,0
Neroli a la Cardamome du Guatemala Chopard for women and men,3,1,5,5,1
Nuit des Rois Chopard for women and men,1,1,0,0,1
Or de Calambac Chopard for women and men,1,0,0,2,0
Orange Mauresque Chopard for women and men,1,4,1,0,0
Rose de Caroline Chopard for women,1,1,0,1,1
Rose Seljuke Chopard for women and men,1,0,0,2,1
Vanille de Madagascar Chopard for women and men,3,0,0,5,2
Vetiver d'Haiti au The Vert Chopard for women and men,0,1,3,4,1
Acqua Attiva Collistar for men,2,13,13,7,1
Acqua Attiva Assoluta Collistar for men,0,4,4,1,0
Acqua Attiva Green Collistar for men,0,0,2,3,1
Acqua Attiva Ice Collistar for men,1,1,2,3,0
FH 77 Courreges for men,0,0,0,0,0
Blue Wind Custo Barcelona for men,1,0,5,5,1
Custo Barcelona Custo Barcelona for women,3,0,7,5,1
Enjoy Woman Custo Barcelona for women,0,0,1,0,0
Glam Star Custo Barcelona for women,3,1,2,0,0
Light Blue Eau Intense Pour Homme Dolce&Gabbana for men,45,60,133,378,57
DKNY Men 2009 Donna Karan for men,3,6,30,12,3
He Wood Ocean Wet Wood DSQUARED² for men,6,5,34,26,13
She Wood Crystal Creek Wood DSQUARED² for women,14,8,23,8,2
She Wood Velvet Forest Wood DSQUARED² for women,7,14,34,7,8
Au Lac Eau D'Italie for women,8,5,12,2,0
Jamais le Dimanche Egofacto for men,0,3,2,8,1
Jasmin Paradis Elisire for women and men,0,1,1,1,1
Poudre Desir Elisire for women,1,1,0,1,1
Mersal Emirates Pride Perfumes for women and men,0,0,0,0,0
Apollo Hyacinth Eric Buterbaugh Florals for women and men,0,3,1,2,4
Fragile Violet Eric Buterbaugh Florals for women and men,0,2,5,3,3
Kingston Osmanthus Eric Buterbaugh Florals for women and men,2,2,3,2,1
Essenza di Zegna Ermenegildo Zegna for men,6,1,28,19,3
Intuition Estée Lauder for women,6,4,20,56,11
Pleasures Estée Lauder for women,22,75,245,200,71
Ferrari Extreme Ferrari for men,2,7,14,18,4
Ferrari Uomo Ferrari for men,14,18,78,59,6
Date For Men Fragrance One for men,98,9,16,48,70
Office For Men Fragrance One for men,209,56,70,170,122
Gai Mattiolo Uomo Gai Mattiolo for men,1,1,4,2,4
Acqua di Gio Giorgio Armani for men,100,260,1104,325,97
Acqua di Giò Absolu Giorgio Armani for men,59,27,82,160,45
Acqua di Giò Absolu Instinct Giorgio Armani for men,15,14,28,50,17
Acqua di Gio Essenza Giorgio Armani for men,26,30,145,445,108
Acqua di Giò Profondo Giorgio Armani for men,28,17,39,50,10
Acqua di Gio Profumo Giorgio Armani for men,56,73,395,1049,154
Armani Attitude Giorgio Armani for men,13,20,121,39,14
Armani Privé Charm' Giorgio Armani for women,3,1,5,2,1
Emporio Armani White For Her Giorgio Armani for women,6,4,19,10,6
Sensi Giorgio Armani for women,11,18,31,86,36
Sensi White Notes Giorgio Armani for women,4,8,10,8,2
Ocean Dream Giorgio Beverly Hills for women,3,11,17,5,2
Givenchy pour Homme Givenchy for men,18,20,134,36,14
Givenchy pour Homme Blue Label Givenchy for men,12,27,85,34,15
Greenergy Givenchy for men,1,3,10,2,3
Hot Couture Givenchy for women,26,33,94,123,62
Hot Couture Eau de Toilette Givenchy for women,10,14,28,76,18
Oblique Fast Forward Givenchy for women and men,0,2,7,10,1
Pi Givenchy for men,39,58,243,461,85
Pi Fraiche Givenchy for men,4,2,14,23,5
Pi Original Code Givenchy for men,3,1,2,2,5
A Chant for the Nymph Gucci for women and men,2,1,0,1,1
A Forgotten Rose Perfume Oil Gucci for women and men,0,2,0,1,0
A Kiss From Violet Perfume Oil Gucci for women and men,1,1,1,0,1
A Midnight Stroll Gucci for women and men,2,0,1,0,1
A Nocturnal Whisper Perfume Oil Gucci for women and men,1,0,0,3,1
A Song For The Rose Eau de Parfum Gucci for women and men,2,5,1,5,2
A Winter Melody Scented Water Gucci for women and men,1,2,0,0,1
Bloom Gocce di Fiori Gucci for women,8,7,1,5,10
Fading Autumn Scented Water Gucci for women and men,2,1,2,1,2
Gucci Bloom Gucci for women,40,48,173,112,41
Gucci Bloom Acqua di Fiori Gucci for women,13,18,38,14,4
Gucci Bloom Ambrosia di Fiori Gucci for women,9,4,13,14,9
Gucci Bloom Hair Mist Gucci for women,1,0,0,1,0
Gucci Bloom Nettare Di Fiori Gucci for women,12,14,31,23,10
Gucci Guilty Absolute Gucci for men,45,36,128,238,157
Gucci Guilty Absolute pour Femme Gucci for women,12,15,54,76,33
Gucci Guilty Cologne pour Homme Gucci for men,9,9,34,23,14
Gucci Guilty Love Edition Pour Femme Gucci for women,10,5,7,6,5
Gucci Guilty Love Edition Pour Homme Gucci for men,5,4,18,6,3
Gucci Guilty Oud Gucci for women and men,7,5,12,16,24
Hortus Sanitatis Gucci for women and men,6,0,2,0,0
Mémoire d’une Odeur Gucci for women and men,40,29,81,49,16
Moonlight Serenade Scented Water Gucci for women and men,4,2,1,0,0
Ode on Melancholy Perfume Oil Gucci for women and men,0,1,0,2,2
Tears Of Iris Eau de Parfum Gucci for women and men,2,5,2,0,1
The Eyes Of The Tiger Eau de Parfum Gucci for women and men,6,1,1,6,3
The Last Day Of Summer Eau de Parfum Gucci for women and men,2,3,5,11,5
The Virgin Violet Eau de Parfum Gucci for women and men,4,0,3,1,3
The Voice Of The Snake Eau de Parfum Gucci for women and men,2,6,8,3,15
Winter's Spring Eau de Parfum Gucci for women and men,6,1,8,1,1
Herve Leger Herve Leger for women,3,1,12,6,4
Ines de la Fressange 2004 Ines de la Fressange for women,0,1,5,2,1
Blessed Baraka Initio Parfums Prives for women and men,9,11,15,26,59
Manifesto Isabella Rossellini for women,3,5,23,6,1
L'Eau d'Issey City Blossom Issey Miyake for women,1,1,5,3,0
L'Eau d'Issey Florale Issey Miyake for women,17,24,76,39,11
L'Eau d'Issey pour Homme Oceanic Expedition Issey Miyake for men,5,10,23,26,6
L'Eau d'Issey Pour Homme Summer 2013 Issey Miyake for men,7,7,41,21,7
L'Eau d'Issey Pour Homme Summer 2016 Issey Miyake for men,1,7,38,3,1
L'Eau d'Issey Pour Homme Summer 2017 Issey Miyake for men,5,4,12,4,2
L'Eau d'Issey Pour Homme Summer 2018 Issey Miyake for men,9,6,15,1,0
L'Eau d'Issey Reflection In A Drop Issey Miyake for women,0,1,2,4,0
